OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,Multiply
2016-01-01,2002-10-17T00:00:00.0000000,TO48797,385,14335,1,1,1,1
2016-01-01,2002-09-30T00:00:00.0000000,TO48802,383,24923,9,1,1,1
2016-01-01,2002-11-29T00:00:00.0000000,TO48801,326,15493,1,1,1,1
2016-01-01,2002-11-16T00:00:00.0000000,TO48799,352,26708,4,1,1,1
2016-01-01,2002-12-16T00:00:00.0000000,TO48798,369,23332,9,1,1,1
2016-01-01,2002-12-02T00:00:00.0000000,TO48800,342,15491,5,1,1,1
2016-01-01,2002-10-19T00:00:00.0000000,TO48795,375,16538,8,1,1,1
2016-01-01,2002-11-23T00:00:00.0000000,TO48796,375,15094,7,1,1,1
2016-01-02,2002-12-01T00:00:00.0000000,TO48804,356,12276,8,1,1,1
2016-01-02,2002-09-12T00:00:00.0000000,TO48814,360,13647,9,1,1,1
2016-01-02,2002-10-30T00:00:00.0000000,TO48812,356,13630,9,1,1,1
2016-01-02,2002-09-15T00:00:00.0000000,TO48803,383,19416,10,1,1,1
2016-01-02,2002-11-23T00:00:00.0000000,TO48809,369,23411,9,1,1,1
2016-01-02,2002-10-27T00:00:00.0000000,TO48807,324,20892,10,1,1,1
2016-01-02,2002-10-10T00:00:00.0000000,TO48805,330,19318,7,1,1,1
2016-01-02,2002-12-11T00:00:00.0000000,TO48808,368,16552,8,1,1,1
2016-01-02,2002-10-18T00:00:00.0000000,TO48813,362,13631,9,1,1,1
2016-01-02,2002-10-22T00:00:00.0000000,TO48810,369,23415,9,1,1,1
2016-01-02,2002-11-30T00:00:00.0000000,TO48806,340,20885,10,1,1,1
2016-01-02,2002-10-06T00:00:00.0000000,TO48811,334,15517,4,1,1,1
2016-01-03,2002-09-06T00:00:00.0000000,TO48819,352,13622,9,1,1,1
2016-01-03,2002-10-29T00:00:00.0000000,TO48817,373,26049,6,1,1,1
2016-01-03,2002-12-04T00:00:00.0000000,TO48820,358,13958,9,1,1,1
2016-01-03,2002-09-10T00:00:00.0000000,TO48815,377,17700,10,1,1,1
2016-01-03,2002-10-11T00:00:00.0000000,TO48818,332,15497,4,1,1,1
2016-01-03,2002-11-15T00:00:00.0000000,TO48821,379,23344,9,1,1,1
2016-01-03,2002-12-16T00:00:00.0000000,TO48816,356,12459,10,1,1,1
2016-01-04,2002-09-15T00:00:00.0000000,TO48827,360,26729,1,1,1,1
2016-01-04,2002-10-25T00:00:00.0000000,TO48825,373,23414,9,1,1,1
2016-01-04,2002-10-02T00:00:00.0000000,TO48829,368,23121,9,1,1,1
2016-01-04,2002-12-06T00:00:00.0000000,TO48822,379,17743,10,1,1,1
2016-01-04,2002-11-30T00:00:00.0000000,TO48824,369,23408,9,1,1,1
2016-01-04,2002-10-27T00:00:00.0000000,TO48828,369,23120,9,1,1,1
